today,latitude,longitude,ip,type,tpm,tpm_type,informants
7/14/15,4.715311,45.244629,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,3.799894,42.544524,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,n/a,n/a,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,3.799243,42.543743,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,2.647855,44.862762,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,3.802846,42.547668,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,2.142194,45.114006,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,3.799295,42.551605,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,4.735831,45.205181,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,1.75955,44.332764,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,1.747928,44.424683,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,6.23774,46.29538,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,3.799072,42.544773,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,1.79716,44.303101,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,3.800228,42.543571,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,1.799905,44.355286,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,5.308332,45.879905,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,2.146123,45.120077,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,5.308321,45.879089,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,1.796908,44.3508,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,2.145352,45.120598,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,2.610364,44.937012,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,4.73573,45.203699,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,3.799714,42.544945,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
